Incident_ID,ResponseDate,CaseNumber,HundredBlock,Problem
"","","","",""
"01/01/2019 02:54:20","1","DISTU1B - Disturbance I/P","BPD190101-000026",""
"01/01/2019 00:27:10","1","SASL2B-Sex Assault J/O","BPD190101-000009","20190101-0000004"
"01/01/2019 00:29:31","1","DISTU1B - Disturbance I/P","BPD190101-000010",""
"01/01/2019 00:34:00","1","DISTU1B - Disturbance I/P","BPD190101-000012","20190101-0000002"
"01/01/2019 02:00:06","1","DISTU1B - Disturbance I/P","BPD190101-000020","20190101-0000005"
"01/01/2019 03:20:44","1","DISTU1B - Disturbance I/P","BPD190101-000030","20190101-0000009"
"01/01/2019 03:47:12","1","DISTU1B - Disturbance I/P","BPD190101-000035",""
"01/01/2019 04:06:41","1","WEAPO1B-Weapon I/P","BPD190101-000038",""
"01/01/2019 05:24:13","1","TRESP1B-Trespassing I/P","BPD190101-000045",""
"01/01/2019 07:38:35","1","DISTU1B - Disturbance I/P","BPD190101-000052",""
"01/01/2019 04:44:39","1","TRESP1B-Trespassing I/P","BPD190101-000043",""
"01/01/2019 09:40:55","1","DISTU1B - Disturbance I/P","BPD190101-000064",""
"01/01/2019 10:32:56","1","TRESP1B-Trespassing I/P","BPD190101-000071","20190101-0000017"
"01/01/2019 11:58:00","1","SUSPI1B-Suspicious I/P","BPD190101-000082",""
"01/01/2019 12:14:54","1","TRESP1B-Trespassing I/P","BPD190101-000085",""
"01/01/2019 13:54:31","1","DISTU1B - Disturbance I/P","BPD190101-000100",""
"01/01/2019 15:47:36","1","DISTU1B - Disturbance I/P","BPD190101-000116",""
"01/01/2019 15:57:20","1","DISTU1B - Disturbance I/P","BPD190101-000117",""
"01/01/2019 16:22:41","1","SUSPI1B-Suspicious I/P","BPD190101-000123","20190101-0000025"
"01/01/2019 20:06:09","1","DISTU1B - Disturbance I/P","BPD190101-000144",""
"01/01/2019 21:19:52","1","TRESP1B-Trespassing I/P","BPD190101-000156",""
"01/01/2019 21:24:40","1","TRESP1B-Trespassing I/P","BPD190101-000160",""
"01/01/2019 22:01:58","1","TRESP1B-Trespassing I/P","BPD190101-000165",""
"01/01/2019 22:30:17","1","TRESP1B-Trespassing I/P","BPD190101-000168",""
"01/02/2019 00:35:11","1","DISTU1B - Disturbance I/P","BPD190102-000178","20190102-0000030"
"01/02/2019 00:40:32","1","TRESP1B-Trespassing I/P","BPD190102-000179",""
"01/01/2019 20:55:39","1","SUSPI1B-Suspicious I/P","BPDBC190101-000155",""
"01/02/2019 04:45:56","1","CRTRE1B - Criminal Tresp I/P","BPD190102-000195","20190102-0000033"
"01/02/2019 09:06:32","1","SUSPI1B-Suspicious I/P","BPD190102-000218",""
"01/02/2019 09:24:00","1","PDACCB-Property Damage Acc","BPD190102-000221",""
"01/02/2019 09:47:01","1","CRTRE1B - Criminal Tresp I/P","BPD190102-000230","20190102-0000041"
"01/02/2019 11:22:55","1","TRESP1B-Trespassing I/P","BPD190102-000252",""
"01/02/2019 15:02:54","1","TRESP1B-Trespassing I/P","BPD190102-000312",""
"01/02/2019 15:09:36","1","TRESP1B-Trespassing I/P","BPD190102-000314",""
"01/02/2019 16:11:02","1","TRESP1B-Trespassing I/P","BPD190102-000330",""
"01/02/2019 19:17:13","1","TRESP1B-Trespassing I/P","BPD190102-000367",""
