,Incident_ID,Case Number,Date,Time,Problem,Code,Hundred Block,Status
1,1,NaN,01/01/2019,02:54:20, Disturbance ,DISTU1B ,BPD190101-000026,I/P
2,1,20190101-0000004,01/01/2019,00:27:10,Sex Assault ,SASL2B,BPD190101-000009,J/O
3,1,NaN,01/01/2019,00:29:31, Disturbance ,DISTU1B ,BPD190101-000010,I/P
4,1,20190101-0000002,01/01/2019,00:34:00, Disturbance ,DISTU1B ,BPD190101-000012,I/P
5,1,20190101-0000005,01/01/2019,02:00:06, Disturbance ,DISTU1B ,BPD190101-000020,I/P
6,1,20190101-0000009,01/01/2019,03:20:44, Disturbance ,DISTU1B ,BPD190101-000030,I/P
7,1,NaN,01/01/2019,03:47:12, Disturbance ,DISTU1B ,BPD190101-000035,I/P
8,1,NaN,01/01/2019,04:06:41,Weapon ,WEAPO1B,BPD190101-000038,I/P
9,1,NaN,01/01/2019,05:24:13,Trespassing ,TRESP1B,BPD190101-000045,I/P
10,1,NaN,01/01/2019,07:38:35, Disturbance ,DISTU1B ,BPD190101-000052,I/P
11,1,NaN,01/01/2019,04:44:39,Trespassing ,TRESP1B,BPD190101-000043,I/P
12,1,NaN,01/01/2019,09:40:55, Disturbance ,DISTU1B ,BPD190101-000064,I/P
13,1,20190101-0000017,01/01/2019,10:32:56,Trespassing ,TRESP1B,BPD190101-000071,I/P
14,1,NaN,01/01/2019,11:58:00,Suspicious ,SUSPI1B,BPD190101-000082,I/P
15,1,NaN,01/01/2019,12:14:54,Trespassing ,TRESP1B,BPD190101-000085,I/P
16,1,NaN,01/01/2019,13:54:31, Disturbance ,DISTU1B ,BPD190101-000100,I/P
17,1,NaN,01/01/2019,15:47:36, Disturbance ,DISTU1B ,BPD190101-000116,I/P
18,1,NaN,01/01/2019,15:57:20, Disturbance ,DISTU1B ,BPD190101-000117,I/P
19,1,20190101-0000025,01/01/2019,16:22:41,Suspicious ,SUSPI1B,BPD190101-000123,I/P
20,1,NaN,01/01/2019,20:06:09, Disturbance ,DISTU1B ,BPD190101-000144,I/P
21,1,NaN,01/01/2019,21:19:52,Trespassing ,TRESP1B,BPD190101-000156,I/P
22,1,NaN,01/01/2019,21:24:40,Trespassing ,TRESP1B,BPD190101-000160,I/P
23,1,NaN,01/01/2019,22:01:58,Trespassing ,TRESP1B,BPD190101-000165,I/P
24,1,NaN,01/01/2019,22:30:17,Trespassing ,TRESP1B,BPD190101-000168,I/P
25,1,20190102-0000030,01/02/2019,00:35:11, Disturbance ,DISTU1B ,BPD190102-000178,I/P
26,1,NaN,01/02/2019,00:40:32,Trespassing ,TRESP1B,BPD190102-000179,I/P
27,1,NaN,01/01/2019,20:55:39,Suspicious ,SUSPI1B,BPDBC190101-000155,I/P
28,1,20190102-0000033,01/02/2019,04:45:56, Criminal Tresp ,CRTRE1B ,BPD190102-000195,I/P
29,1,NaN,01/02/2019,09:06:32,Suspicious ,SUSPI1B,BPD190102-000218,I/P
30,1,NaN,01/02/2019,09:24:00,Property Damage Acc,PDACCB,BPD190102-000221,Completed
31,1,20190102-0000041,01/02/2019,09:47:01, Criminal Tresp ,CRTRE1B ,BPD190102-000230,I/P
32,1,NaN,01/02/2019,11:22:55,Trespassing ,TRESP1B,BPD190102-000252,I/P
33,1,NaN,01/02/2019,15:02:54,Trespassing ,TRESP1B,BPD190102-000312,I/P
34,1,NaN,01/02/2019,15:09:36,Trespassing ,TRESP1B,BPD190102-000314,I/P
35,1,NaN,01/02/2019,16:11:02,Trespassing ,TRESP1B,BPD190102-000330,I/P
36,1,NaN,01/02/2019,19:17:13,Trespassing ,TRESP1B,BPD190102-000367,I/P
37,1,NaN,01/02/2019,19:42:30,Suspicious ,SUSPI1B,BPD190102-000370,I/P
